A,Count(A),Event,P(B|A)
LLLRLRLL,0,R|LLLRLRLL,0.0
LLLRLRLR,0,L|LLLRLRLR,0.0
LLLRLRLR,0,R|LLLRLRLR,0.0
LLLRLRRL,0,L|LLLRLRRL,0.0
LLLRLRRL,0,R|LLLRLRRL,0.0
LLLRLRRR,0,L|LLLRLRRR,0.0
LLLRLRRR,0,R|LLLRLRRR,0.0
LLLRRLLL,1,L|LLLRRLLL,1.0
LLLRRLLL,1,R|LLLRRLLL,0.0
LLLRRLLR,0,L|LLLRRLLR,0.0
LLLRRLLR,0,R|LLLRRLLR,0.0
LLLRRLRL,0,L|LLLRRLRL,0.0
LLLRRLRL,0,R|LLLRRLRL,0.0
LLLRRLRR,1,L|LLLRRLRR,0.0
LLLRRLRR,1,R|LLLRRLRR,1.0
LLLRRRLL,0,L|LLLRRRLL,0.0
LLLRRRLL,0,R|LLLRRRLL,0.0
LLLRRRLR,0,L|LLLRRRLR,0.0
LLLRRRLR,0,R|LLLRRRLR,0.0
LLLRRRRL,1,L|LLLRRRRL,1.0
LLLRRRRL,1,R|LLLRRRRL,0.0
LLLRRRRR,1,L|LLLRRRRR,0.0
LLLRRRRR,1,R|LLLRRRRR,1.0
LLRLLLLL,3,L|LLRLLLLL,1.0
LLRLLLLL,3,R|LLRLLLLL,0.0
LLRLLLLR,0,L|LLRLLLLR,0.0
LLRLLLLR,0,R|LLRLLLLR,0.0
LLRLLLRL,0,L|LLRLLLRL,0.0
LLRLLLRL,0,R|LLRLLLRL,0.0
LLRLLLRR,0,L|LLRLLLRR,0.0
LLRLLLRR,0,R|LLRLLLRR,0.0
LLRLLRLL,0,L|LLRLLRLL,0.0
LLRLLRLL,0,R|LLRLLRLL,0.0
LLRLLRLR,0,L|LLRLLRLR,0.0
LLRLLRLR,0,R|LLRLLRLR,0.0
LLRLLRRL,0,L|LLRLLRRL,0.0
LLRLLRRL,0,R|LLRLLRRL,0.0
LLRLLRRR,0,L|LLRLLRRR,0.0
LLRLLRRR,0,R|LLRLLRRR,0.0
LLRLRLLL,0,L|LLRLRLLL,0.0
LLRLRLLL,0,R|LLRLRLLL,0.0
LLRLRLLR,0,L|LLRLRLLR,0.0
LLRLRLLR,0,R|LLRLRLLR,0.0
LLRLRLRL,0,L|LLRLRLRL,0.0
LLRLRLRL,0,R|LLRLRLRL,0.0
LLRLRLRR,0,L|LLRLRLRR,0.0
LLRLRLRR,0,R|LLRLRLRR,0.0
LLRLRRLL,0,L|LLRLRRLL,0.0
LLRLRRLL,0,R|LLRLRRLL,0.0
LLRLRRLR,0,L|LLRLRRLR,0.0
LLRLRRLR,0,R|LLRLRRLR,0.0
LLRLRRRL,0,L|LLRLRRRL,0.0
LLRLRRRL,0,R|LLRLRRRL,0.0
LLRLRRRR,1,L|LLRLRRRR,0.0
LLRLRRRR,1,R|LLRLRRRR,1.0
LLRRLLLL,1,L|LLRRLLLL,1.0
LLRRLLLL,1,R|LLRRLLLL,0.0
LLRRLLLR,0,L|LLRRLLLR,0.0
LLRRLLLR,0,R|LLRRLLLR,0.0
LLRRLLRL,0,L|LLRRLLRL,0.0
LLRRLLRL,0,R|LLRRLLRL,0.0
LLRRLLRR,0,L|LLRRLLRR,0.0
LLRRLLRR,0,R|LLRRLLRR,0.0
LLRRLRLL,0,L|LLRRLRLL,0.0
LLRRLRLL,0,R|LLRRLRLL,0.0
LLRRLRLR,0,L|LLRRLRLR,0.0
LLRRLRLR,0,R|LLRRLRLR,0.0
LLRRLRRL,0,L|LLRRLRRL,0.0
LLRRLRRL,0,R|LLRRLRRL,0.0
LLRRLRRR,0,L|LLRRLRRR,0.0
LLRRLRRR,0,R|LLRRLRRR,0.0
LLRRRLLL,1,L|LLRRRLLL,1.0
LLRRRLLL,1,R|LLRRRLLL,0.0
LLRRRLLR,0,L|LLRRRLLR,0.0
LLRRRLLR,0,R|LLRRRLLR,0.0
LLRRRLRL,0,L|LLRRRLRL,0.0
LLRRRLRL,0,R|LLRRRLRL,0.0
LLRRRLRR,1,L|LLRRRLRR,0.0
LLRRRLRR,1,R|LLRRRLRR,1.0
LLRRRRLL,0,L|LLRRRRLL,0.0
LLRRRRLL,0,R|LLRRRRLL,0.0
LLRRRRLR,0,L|LLRRRRLR,0.0
LLRRRRLR,0,R|LLRRRRLR,0.0
LLRRRRRL,0,L|LLRRRRRL,0.0
LLRRRRRL,0,R|LLRRRRRL,0.0
LLRRRRRR,9,L|LLRRRRRR,0.3333333333333333
LLRRRRRR,9,R|LLRRRRRR,0.6666666666666666
LRLLLLLL,9,L|LRLLLLLL,0.8888888888888888
LRLLLLLL,9,R|LRLLLLLL,0.1111111111111111
LRLLLLLR,4,L|LRLLLLLR,1.0
LRLLLLLR,4,R|LRLLLLLR,0.0
LRLLLLRL,0,L|LRLLLLRL,0.0
LRLLLLRL,0,R|LRLLLLRL,0.0
LRLLLLRR,2,L|LRLLLLRR,0.0
LRLLLLRR,2,R|LRLLLLRR,1.0
LRLLLRLL,3,L|LRLLLRLL,1.0
LRLLLRLL,3,R|LRLLLRLL,0.0
LRLLLRLR,0,L|LRLLLRLR,0.0
LRLLLRLR,0,R|LRLLLRLR,0.0
LRLLLRRL,0,L|LRLLLRRL,0.0
LRLLLRRL,0,R|LRLLLRRL,0.0
LRLLLRRR,1,L|LRLLLRRR,0.0
LRLLLRRR,1,R|LRLLLRRR,1.0
LRLLRLLL,0,L|LRLLRLLL,0.0
LRLLRLLL,0,R|LRLLRLLL,0.0
LRLLRLLR,0,L|LRLLRLLR,0.0
LRLLRLLR,0,R|LRLLRLLR,0.0
LRLLRLRL,0,L|LRLLRLRL,0.0
LRLLRLRL,0,R|LRLLRLRL,0.0
LRLLRLRR,0,L|LRLLRLRR,0.0
LRLLRLRR,0,R|LRLLRLRR,0.0
LRLLRRLL,0,L|LRLLRRLL,0.0
LRLLRRLL,0,R|LRLLRRLL,0.0
LRLLRRLR,0,L|LRLLRRLR,0.0
LRLLRRLR,0,R|LRLLRRLR,0.0
LRLLRRRL,0,L|LRLLRRRL,0.0
LRLLRRRL,0,R|LRLLRRRL,0.0
LRLLRRRR,0,L|LRLLRRRR,0.0
LRLLRRRR,0,R|LRLLRRRR,0.0
LRLRLLLL,0,L|LRLRLLLL,0.0
LRLRLLLL,0,R|LRLRLLLL,0.0
LRLRLLLR,0,L|LRLRLLLR,0.0
LRLRLLLR,0,R|LRLRLLLR,0.0
LRLRLLRL,0,L|LRLRLLRL,0.0
LRLRLLRL,0,R|LRLRLLRL,0.0
LRLRLLRR,0,L|LRLRLLRR,0.0
LRLRLLRR,0,R|LRLRLLRR,0.0
LRLRLRLL,0,L|LRLRLRLL,0.0
LRLRLRLL,0,R|LRLRLRLL,0.0
LRLRLRLR,0,L|LRLRLRLR,0.0
LRLRLRLR,0,R|LRLRLRLR,0.0
LRLRLRRL,0,L|LRLRLRRL,0.0
LRLRLRRL,0,R|LRLRLRRL,0.0
LRLRLRRR,0,L|LRLRLRRR,0.0
LRLRLRRR,0,R|LRLRLRRR,0.0
LRLRRLLL,0,L|LRLRRLLL,0.0
LRLRRLLL,0,R|LRLRRLLL,0.0
LRLRRLLR,0,L|LRLRRLLR,0.0
LRLRRLLR,0,R|LRLRRLLR,0.0
LRLRRLRL,0,L|LRLRRLRL,0.0
LRLRRLRL,0,R|LRLRRLRL,0.0
LRLRRLRR,0,L|LRLRRLRR,0.0
LRLRRLRR,0,R|LRLRRLRR,0.0
LRLRRRLL,0,L|LRLRRRLL,0.0
LRLRRRLL,0,R|LRLRRRLL,0.0
LRLRRRLR,0,L|LRLRRRLR,0.0
LRLRRRLR,0,R|LRLRRRLR,0.0
LRLRRRRL,0,L|LRLRRRRL,0.0
LRLRRRRL,0,R|LRLRRRRL,0.0
LRLRRRRR,0,L|LRLRRRRR,0.0
LRLRRRRR,0,R|LRLRRRRR,0.0
LRRLLLLL,1,L|LRRLLLLL,1.0
LRRLLLLL,1,R|LRRLLLLL,0.0
LRRLLLLR,0,L|LRRLLLLR,0.0
LRRLLLLR,0,R|LRRLLLLR,0.0
LRRLLLRL,0,L|LRRLLLRL,0.0
LRRLLLRL,0,R|LRRLLLRL,0.0
LRRLLLRR,0,L|LRRLLLRR,0.0
LRRLLLRR,0,R|LRRLLLRR,0.0
LRRLLRLL,0,L|LRRLLRLL,0.0
LRRLLRLL,0,R|LRRLLRLL,0.0
LRRLLRLR,0,L|LRRLLRLR,0.0
LRRLLRLR,0,R|LRRLLRLR,0.0
LRRLLRRL,0,L|LRRLLRRL,0.0
LRRLLRRL,0,R|LRRLLRRL,0.0
LRRLLRRR,1,L|LRRLLRRR,0.0
LRRLLRRR,1,R|LRRLLRRR,1.0
LRRLRLLL,1,L|LRRLRLLL,1.0
LRRLRLLL,1,R|LRRLRLLL,0.0
LRRLRLLR,1,L|LRRLRLLR,1.0
LRRLRLLR,1,R|LRRLRLLR,0.0
LRRLRLRL,0,L|LRRLRLRL,0.0
LRRLRLRL,0,R|LRRLRLRL,0.0
LRRLRLRR,0,L|LRRLRLRR,0.0
LRRLRLRR,0,R|LRRLRLRR,0.0
LRRLRRLL,0,L|LRRLRRLL,0.0
LRRLRRLL,0,R|LRRLRRLL,0.0
LRRLRRLR,0,L|LRRLRRLR,0.0
LRRLRRLR,0,R|LRRLRRLR,0.0
LRRLRRRL,1,L|LRRLRRRL,1.0
LRRLRRRL,1,R|LRRLRRRL,0.0
LRRLRRRR,2,L|LRRLRRRR,0.0
LRRLRRRR,2,R|LRRLRRRR,1.0
LRRRLLLL,1,L|LRRRLLLL,1.0
LRRRLLLL,1,R|LRRRLLLL,0.0
LRRRLLLR,0,L|LRRRLLLR,0.0
LRRRLLLR,0,R|LRRRLLLR,0.0
LRRRLLRL,0,L|LRRRLLRL,0.0
LRRRLLRL,0,R|LRRRLLRL,0.0
LRRRLLRR,0,L|LRRRLLRR,0.0
LRRRLLRR,0,R|LRRRLLRR,0.0
LRRRLRLL,0,L|LRRRLRLL,0.0
LRRRLRLL,0,R|LRRRLRLL,0.0
LRRRLRLR,0,L|LRRRLRLR,0.0
LRRRLRLR,0,R|LRRRLRLR,0.0
LRRRLRRL,2,L|LRRRLRRL,0.0
LRRRLRRL,2,R|LRRRLRRL,1.0
LRRRLRRR,2,L|LRRRLRRR,1.0
LRRRLRRR,2,R|LRRRLRRR,0.0
LRRRRLLL,1,L|LRRRRLLL,1.0
LRRRRLLL,1,R|LRRRRLLL,0.0
LRRRRLLR,0,L|LRRRRLLR,0.0
LRRRRLLR,0,R|LRRRRLLR,0.0
LRRRRLRL,0,L|LRRRRLRL,0.0
LRRRRLRL,0,R|LRRRRLRL,0.0
LRRRRLRR,0,L|LRRRRLRR,0.0
LRRRRLRR,0,R|LRRRRLRR,0.0
LRRRRRLL,1,L|LRRRRRLL,0.0
LRRRRRLL,1,R|LRRRRRLL,1.0
LRRRRRLR,4,L|LRRRRRLR,0.25
LRRRRRLR,4,R|LRRRRRLR,0.75
LRRRRRRL,7,L|LRRRRRRL,0.2857142857142857
LRRRRRRL,7,R|LRRRRRRL,0.7142857142857143
LRRRRRRR,34,L|LRRRRRRR,0.17647058823529413
LRRRRRRR,34,R|LRRRRRRR,0.8235294117647058
RLLLLLLL,35,L|RLLLLLLL,0.7142857142857143
RLLLLLLL,35,R|RLLLLLLL,0.2857142857142857
RLLLLLLR,4,L|RLLLLLLR,0.5
RLLLLLLR,4,R|RLLLLLLR,0.5
RLLLLLRL,5,L|RLLLLLRL,0.8
RLLLLLRL,5,R|RLLLLLRL,0.2
RLLLLLRR,1,L|RLLLLLRR,0.0
RLLLLLRR,1,R|RLLLLLRR,1.0
RLLLLRLL,1,L|RLLLLRLL,1.0
RLLLLRLL,1,R|RLLLLRLL,0.0
RLLLLRLR,1,L|RLLLLRLR,0.0
RLLLLRLR,1,R|RLLLLRLR,1.0
RLLLLRRL,2,L|RLLLLRRL,0.0
RLLLLRRL,2,R|RLLLLRRL,1.0
RLLLLRRR,0,L|RLLLLRRR,0.0
RLLLLRRR,0,R|RLLLLRRR,0.0
RLLLRLLL,2,L|RLLLRLLL,0.0
RLLLRLLL,2,R|RLLLRLLL,1.0
RLLLRLLR,0,L|RLLLRLLR,0.0
RLLLRLLR,0,R|RLLLRLLR,0.0
RLLLRLRL,0,L|RLLLRLRL,0.0
RLLLRLRL,0,R|RLLLRLRL,0.0
RLLLRLRR,0,L|RLLLRLRR,0.0
RLLLRLRR,0,R|RLLLRLRR,0.0
RLLLRRLL,0,L|RLLLRRLL,0.0
RLLLRRLL,0,R|RLLLRRLL,0.0
RLLLRRLR,0,L|RLLLRRLR,0.0
RLLLRRLR,0,R|RLLLRRLR,0.0
RLLLRRRL,0,L|RLLLRRRL,0.0
RLLLRRRL,0,R|RLLLRRRL,0.0
RLLLRRRR,2,L|RLLLRRRR,0.0
RLLLRRRR,2,R|RLLLRRRR,1.0
RLLRLLLL,3,L|RLLRLLLL,1.0
RLLRLLLL,3,R|RLLRLLLL,0.0
RLLRLLLR,2,L|RLLRLLLR,0.5
RLLRLLLR,2,R|RLLRLLLR,0.5
RLLRLLRL,0,L|RLLRLLRL,0.0
RLLRLLRL,0,R|RLLRLLRL,0.0
RLLRLLRR,1,L|RLLRLLRR,0.0
RLLRLLRR,1,R|RLLRLLRR,1.0
RLLRLRLL,0,L|RLLRLRLL,0.0
RLLRLRLL,0,R|RLLRLRLL,0.0
RLLRLRLR,0,L|RLLRLRLR,0.0
RLLRLRLR,0,R|RLLRLRLR,0.0
RLLRLRRL,0,L|RLLRLRRL,0.0
RLLRLRRL,0,R|RLLRLRRL,0.0
RLLRLRRR,0,L|RLLRLRRR,0.0
RLLRLRRR,0,R|RLLRLRRR,0.0
RLLRRLLL,0,L|RLLRRLLL,0.0
RLLRRLLL,0,R|RLLRRLLL,0.0
RLLRRLLR,0,L|RLLRRLLR,0.0
RLLRRLLR,0,R|RLLRRLLR,0.0
RLLRRLRL,0,L|RLLRRLRL,0.0
RLLRRLRL,0,R|RLLRRLRL,0.0
RLLRRLRR,0,L|RLLRRLRR,0.0
RLLRRLRR,0,R|RLLRRLRR,0.0
RLLRRRLL,0,L|RLLRRRLL,0.0
RLLRRRLL,0,R|RLLRRRLL,0.0
RLLRRRLR,0,L|RLLRRRLR,0.0
RLLRRRLR,0,R|RLLRRRLR,0.0
RLLRRRRL,0,L|RLLRRRRL,0.0
RLLRRRRL,0,R|RLLRRRRL,0.0
RLLRRRRR,1,L|RLLRRRRR,0.0
RLLRRRRR,1,R|RLLRRRRR,1.0
RLRLLLLL,3,L|RLRLLLLL,1.0
RLRLLLLL,3,R|RLRLLLLL,0.0
RLRLLLLR,0,L|RLRLLLLR,0.0
RLRLLLLR,0,R|RLRLLLLR,0.0
RLRLLLRL,0,L|RLRLLLRL,0.0
RLRLLLRL,0,R|RLRLLLRL,0.0
RLRLLLRR,0,L|RLRLLLRR,0.0
RLRLLLRR,0,R|RLRLLLRR,0.0
RLRLLRLL,0,L|RLRLLRLL,0.0
RLRLLRLL,0,R|RLRLLRLL,0.0
RLRLLRLR,0,L|RLRLLRLR,0.0
RLRLLRLR,0,R|RLRLLRLR,0.0
RLRLLRRL,0,L|RLRLLRRL,0.0
RLRLLRRL,0,R|RLRLLRRL,0.0
RLRLLRRR,1,L|RLRLLRRR,0.0
RLRLLRRR,1,R|RLRLLRRR,1.0
RLRLRLLL,0,L|RLRLRLLL,0.0
RLRLRLLL,0,R|RLRLRLLL,0.0
RLRLRLLR,0,L|RLRLRLLR,0.0
RLRLRLLR,0,R|RLRLRLLR,0.0
RLRLRLRL,0,L|RLRLRLRL,0.0
RLRLRLRL,0,R|RLRLRLRL,0.0
RLRLRLRR,0,L|RLRLRLRR,0.0
RLRLRLRR,0,R|RLRLRLRR,0.0
RLRLRRLL,0,L|RLRLRRLL,0.0
RLRLRRLL,0,R|RLRLRRLL,0.0
RLRLRRLR,0,L|RLRLRRLR,0.0
RLRLRRLR,0,R|RLRLRRLR,0.0
RLRLRRRL,0,L|RLRLRRRL,0.0
RLRLRRRL,0,R|RLRLRRRL,0.0
RLRLRRRR,1,L|RLRLRRRR,0.0
RLRLRRRR,1,R|RLRLRRRR,1.0
RLRRLLLL,0,L|RLRRLLLL,0.0
RLRRLLLL,0,R|RLRRLLLL,0.0
RLRRLLLR,0,L|RLRRLLLR,0.0
RLRRLLLR,0,R|RLRRLLLR,0.0
RLRRLLRL,0,L|RLRRLLRL,0.0
RLRRLLRL,0,R|RLRRLLRL,0.0
RLRRLLRR,0,L|RLRRLLRR,0.0
RLRRLLRR,0,R|RLRRLLRR,0.0
RLRRLRLL,1,L|RLRRLRLL,1.0
RLRRLRLL,1,R|RLRRLRLL,0.0
RLRRLRLR,0,L|RLRRLRLR,0.0
RLRRLRLR,0,R|RLRRLRLR,0.0
RLRRLRRL,0,L|RLRRLRRL,0.0
RLRRLRRL,0,R|RLRRLRRL,0.0
RLRRLRRR,0,L|RLRRLRRR,0.0
RLRRLRRR,0,R|RLRRLRRR,0.0
RLRRRLLL,1,L|RLRRRLLL,1.0
RLRRRLLL,1,R|RLRRRLLL,0.0
RLRRRLLR,0,L|RLRRRLLR,0.0
RLRRRLLR,0,R|RLRRRLLR,0.0
RLRRRLRL,0,L|RLRRRLRL,0.0
RLRRRLRL,0,R|RLRRRLRL,0.0
RLRRRLRR,1,L|RLRRRLRR,0.0
RLRRRLRR,1,R|RLRRRLRR,1.0
RLRRRRLL,1,L|RLRRRRLL,1.0
RLRRRRLL,1,R|RLRRRRLL,0.0
RLRRRRLR,0,L|RLRRRRLR,0.0
RLRRRRLR,0,R|RLRRRRLR,0.0
RLRRRRRL,1,L|RLRRRRRL,0.0
RLRRRRRL,1,R|RLRRRRRL,1.0
RLRRRRRR,18,L|RLRRRRRR,0.16666666666666666
RLRRRRRR,18,R|RLRRRRRR,0.8333333333333334
RRLLLLLL,14,L|RRLLLLLL,1.0
RRLLLLLL,14,R|RRLLLLLL,0.0
RRLLLLLR,3,L|RRLLLLLR,0.6666666666666666
RRLLLLLR,3,R|RRLLLLLR,0.3333333333333333
RRLLLLRL,0,L|RRLLLLRL,0.0
RRLLLLRL,0,R|RRLLLLRL,0.0
RRLLLLRR,1,L|RRLLLLRR,0.0
RRLLLLRR,1,R|RRLLLLRR,1.0
RRLLLRLL,0,L|RRLLLRLL,0.0
RRLLLRLL,0,R|RRLLLRLL,0.0
RRLLLRLR,0,L|RRLLLRLR,0.0
RRLLLRLR,0,R|RRLLLRLR,0.0
RRLLLRRL,0,L|RRLLLRRL,0.0
RRLLLRRL,0,R|RRLLLRRL,0.0
RRLLLRRR,1,L|RRLLLRRR,1.0
RRLLLRRR,1,R|RRLLLRRR,0.0
RRLLRLLL,1,L|RRLLRLLL,0.0
RRLLRLLL,1,R|RRLLRLLL,1.0
RRLLRLLR,0,L|RRLLRLLR,0.0
RRLLRLLR,0,R|RRLLRLLR,0.0
RRLLRLRL,0,L|RRLLRLRL,0.0
RRLLRLRL,0,R|RRLLRLRL,0.0
RRLLRLRR,0,L|RRLLRLRR,0.0
RRLLRLRR,0,R|RRLLRLRR,0.0
RRLLRRLL,0,L|RRLLRRLL,0.0
RRLLRRLL,0,R|RRLLRRLL,0.0
RRLLRRLR,0,L|RRLLRRLR,0.0
RRLLRRLR,0,R|RRLLRRLR,0.0
RRLLRRRL,0,L|RRLLRRRL,0.0
RRLLRRRL,0,R|RRLLRRRL,0.0
RRLLRRRR,0,L|RRLLRRRR,0.0
RRLLRRRR,0,R|RRLLRRRR,0.0
RRLRLLLL,0,L|RRLRLLLL,0.0
RRLRLLLL,0,R|RRLRLLLL,0.0
RRLRLLLR,0,L|RRLRLLLR,0.0
RRLRLLLR,0,R|RRLRLLLR,0.0
RRLRLLRL,0,L|RRLRLLRL,0.0
RRLRLLRL,0,R|RRLRLLRL,0.0
RRLRLLRR,0,L|RRLRLLRR,0.0
RRLRLLRR,0,R|RRLRLLRR,0.0
RRLRLRLL,0,L|RRLRLRLL,0.0
RRLRLRLL,0,R|RRLRLRLL,0.0
RRLRLRLR,0,L|RRLRLRLR,0.0
RRLRLRLR,0,R|RRLRLRLR,0.0
RRLRLRRL,0,L|RRLRLRRL,0.0
RRLRLRRL,0,R|RRLRLRRL,0.0
RRLRLRRR,2,L|RRLRLRRR,0.5
RRLRLRRR,2,R|RRLRLRRR,0.5
RRLRRLLL,0,L|RRLRRLLL,0.0
RRLRRLLL,0,R|RRLRRLLL,0.0
RRLRRLLR,1,L|RRLRRLLR,1.0
RRLRRLLR,1,R|RRLRRLLR,0.0
RRLRRLRL,0,L|RRLRRLRL,0.0
RRLRRLRL,0,R|RRLRRLRL,0.0
RRLRRLRR,0,L|RRLRRLRR,0.0
RRLRRLRR,0,R|RRLRRLRR,0.0
RRLRRRLL,0,L|RRLRRRLL,0.0
RRLRRRLL,0,R|RRLRRRLL,0.0
RRLRRRLR,0,L|RRLRRRLR,0.0
RRLRRRLR,0,R|RRLRRRLR,0.0
RRLRRRRL,0,L|RRLRRRRL,0.0
RRLRRRRL,0,R|RRLRRRRL,0.0
RRLRRRRR,1,L|RRLRRRRR,0.0
RRLRRRRR,1,R|RRLRRRRR,1.0
RRRLLLLL,5,L|RRRLLLLL,0.8
RRRLLLLL,5,R|RRRLLLLL,0.2
RRRLLLLR,1,L|RRRLLLLR,0.0
RRRLLLLR,1,R|RRRLLLLR,1.0
RRRLLLRL,0,L|RRRLLLRL,0.0
RRRLLLRL,0,R|RRRLLLRL,0.0
RRRLLLRR,0,L|RRRLLLRR,0.0
RRRLLLRR,0,R|RRRLLLRR,0.0
RRRLLRLL,1,L|RRRLLRLL,1.0
RRRLLRLL,1,R|RRRLLRLL,0.0
RRRLLRLR,0,L|RRRLLRLR,0.0
RRRLLRLR,0,R|RRRLLRLR,0.0
RRRLLRRL,0,L|RRRLLRRL,0.0
RRRLLRRL,0,R|RRRLLRRL,0.0
RRRLLRRR,1,L|RRRLLRRR,0.0
RRRLLRRR,1,R|RRRLLRRR,1.0
RRRLRLLL,2,L|RRRLRLLL,0.5
RRRLRLLL,2,R|RRRLRLLL,0.5
RRRLRLLR,0,L|RRRLRLLR,0.0
RRRLRLLR,0,R|RRRLRLLR,0.0
RRRLRLRL,0,L|RRRLRLRL,0.0
RRRLRLRL,0,R|RRRLRLRL,0.0
RRRLRLRR,0,L|RRRLRLRR,0.0
RRRLRLRR,0,R|RRRLRLRR,0.0
RRRLRRLL,0,L|RRRLRRLL,0.0
RRRLRRLL,0,R|RRRLRRLL,0.0
RRRLRRLR,1,L|RRRLRRLR,0.0
RRRLRRLR,1,R|RRRLRRLR,1.0
RRRLRRRL,0,L|RRRLRRRL,0.0
RRRLRRRL,0,R|RRRLRRRL,0.0
RRRLRRRR,6,L|RRRLRRRR,0.3333333333333333
RRRLRRRR,6,R|RRRLRRRR,0.6666666666666666
RRRRLLLL,3,L|RRRRLLLL,0.6666666666666666
RRRRLLLL,3,R|RRRRLLLL,0.3333333333333333
RRRRLLLR,2,L|RRRRLLLR,1.0
RRRRLLLR,2,R|RRRRLLLR,0.0
RRRRLLRL,1,L|RRRRLLRL,1.0
RRRRLLRL,1,R|RRRRLLRL,0.0
RRRRLLRR,1,L|RRRRLLRR,1.0
RRRRLLRR,1,R|RRRRLLRR,0.0
RRRRLRLL,1,L|RRRRLRLL,1.0
RRRRLRLL,1,R|RRRRLRLL,0.0
RRRRLRLR,0,L|RRRRLRLR,0.0
RRRRLRLR,0,R|RRRRLRLR,0.0
RRRRLRRL,1,L|RRRRLRRL,0.0
RRRRLRRL,1,R|RRRRLRRL,1.0
RRRRLRRR,4,L|RRRRLRRR,0.25
RRRRLRRR,4,R|RRRRLRRR,0.75
RRRRRLLL,4,L|RRRRRLLL,0.75
RRRRRLLL,4,R|RRRRRLLL,0.25
RRRRRLLR,3,L|RRRRRLLR,0.6666666666666666
RRRRRLLR,3,R|RRRRRLLR,0.3333333333333333
RRRRRLRL,0,L|RRRRRLRL,0.0
RRRRRLRL,0,R|RRRRRLRL,0.0
RRRRRLRR,2,L|RRRRRLRR,0.5
RRRRRLRR,2,R|RRRRRLRR,0.5
RRRRRRLL,4,L|RRRRRRLL,0.5
RRRRRRLL,4,R|RRRRRRLL,0.5
RRRRRRLR,11,L|RRRRRRLR,0.2727272727272727
RRRRRRLR,11,R|RRRRRRLR,0.7272727272727273
RRRRRRRL,24,L|RRRRRRRL,0.4583333333333333
RRRRRRRL,24,R|RRRRRRRL,0.5416666666666666
RRRRRRRR,93,L|RRRRRRRR,0.22580645161290322
RRRRRRRR,93,R|RRRRRRRR,0.7741935483870968
LLLLLLLLL,66,L|LLLLLLLLL,0.8484848484848485
LLLLLLLLL,66,R|LLLLLLLLL,0.15151515151515152
LLLLLLLLR,4,L|LLLLLLLLR,0.75
LLLLLLLLR,4,R|LLLLLLLLR,0.25
LLLLLLLRL,0,L|LLLLLLLRL,0.0
LLLLLLLRL,0,R|LLLLLLLRL,0.0
LLLLLLLRR,3,L|LLLLLLLRR,0.0
LLLLLLLRR,3,R|LLLLLLLRR,1.0
LLLLLLRLL,0,L|LLLLLLRLL,0.0
LLLLLLRLL,0,R|LLLLLLRLL,0.0
LLLLLLRLR,0,L|LLLLLLRLR,0.0
LLLLLLRLR,0,R|LLLLLLRLR,0.0
LLLLLLRRL,1,L|LLLLLLRRL,1.0
LLLLLLRRL,1,R|LLLLLLRRL,0.0
LLLLLLRRR,0,L|LLLLLLRRR,0.0
LLLLLLRRR,0,R|LLLLLLRRR,0.0
LLLLLRLLL,0,L|LLLLLRLLL,0.0
LLLLLRLLL,0,R|LLLLLRLLL,0.0
LLLLLRLLR,0,L|LLLLLRLLR,0.0
LLLLLRLLR,0,R|LLLLLRLLR,0.0
LLLLLRLRL,0,L|LLLLLRLRL,0.0
LLLLLRLRL,0,R|LLLLLRLRL,0.0
LLLLLRLRR,0,L|LLLLLRLRR,0.0
LLLLLRLRR,0,R|LLLLLRLRR,0.0
LLLLLRRLL,0,L|LLLLLRRLL,0.0
LLLLLRRLL,0,R|LLLLLRRLL,0.0
LLLLLRRLR,1,L|LLLLLRRLR,0.0
LLLLLRRLR,1,R|LLLLLRRLR,1.0
LLLLLRRRL,1,L|LLLLLRRRL,1.0
LLLLLRRRL,1,R|LLLLLRRRL,0.0
LLLLLRRRR,0,L|LLLLLRRRR,0.0
LLLLLRRRR,0,R|LLLLLRRRR,0.0
LLLLRLLLL,2,L|LLLLRLLLL,0.5
LLLLRLLLL,2,R|LLLLRLLLL,0.5
LLLLRLLLR,3,L|LLLLRLLLR,0.6666666666666666
LLLLRLLLR,3,R|LLLLRLLLR,0.3333333333333333
LLLLRLLRL,0,L|LLLLRLLRL,0.0
LLLLRLLRL,0,R|LLLLRLLRL,0.0
LLLLRLLRR,0,L|LLLLRLLRR,0.0
LLLLRLLRR,0,R|LLLLRLLRR,0.0
LLLLRLRLL,0,L|LLLLRLRLL,0.0
LLLLRLRLL,0,R|LLLLRLRLL,0.0
LLLLRLRLR,0,L|LLLLRLRLR,0.0
LLLLRLRLR,0,R|LLLLRLRLR,0.0
LLLLRLRRL,0,L|LLLLRLRRL,0.0
LLLLRLRRL,0,R|LLLLRLRRL,0.0
LLLLRLRRR,0,L|LLLLRLRRR,0.0
LLLLRLRRR,0,R|LLLLRLRRR,0.0
LLLLRRLLL,0,L|LLLLRRLLL,0.0
LLLLRRLLL,0,R|LLLLRRLLL,0.0
LLLLRRLLR,0,L|LLLLRRLLR,0.0
LLLLRRLLR,0,R|LLLLRRLLR,0.0
LLLLRRLRL,0,L|LLLLRRLRL,0.0
LLLLRRLRL,0,R|LLLLRRLRL,0.0
LLLLRRLRR,0,L|LLLLRRLRR,0.0
LLLLRRLRR,0,R|LLLLRRLRR,0.0
